"slide","order","relationship_id","source","saved_as","bytes"
"11","2","rId6","ppt/media/image206.svg","assets/official-pptx-icons/slide-11/02-image206.svg","28697"
"11","3","rId4","ppt/media/image204.svg","assets/official-pptx-icons/slide-11/03-image204.svg","22953"
"11","4","rId2","ppt/media/image202.svg","assets/official-pptx-icons/slide-11/04-image202.svg","41713"
"11","5","rId14","ppt/media/image214.svg","assets/official-pptx-icons/slide-11/05-image214.svg","15265"
"11","6","rId12","ppt/media/image212.svg","assets/official-pptx-icons/slide-11/06-image212.svg","36937"
"11","7","rId10","ppt/media/image210.svg","assets/official-pptx-icons/slide-11/07-image210.svg","215730"
"12","1","rId8","ppt/media/image222.svg","assets/official-pptx-icons/slide-12/01-image222.svg","28831"
"12","2","rId6","ppt/media/image220.svg","assets/official-pptx-icons/slide-12/02-image220.svg","29586"
"12","3","rId4","ppt/media/image218.svg","assets/official-pptx-icons/slide-12/03-image218.svg","23968"
"12","4","rId2","ppt/media/image216.svg","assets/official-pptx-icons/slide-12/04-image216.svg","63581"
"12","5","rId14","ppt/media/image228.svg","assets/official-pptx-icons/slide-12/05-image228.svg","15650"
"12","6","rId12","ppt/media/image226.svg","assets/official-pptx-icons/slide-12/06-image226.svg","42362"
"12","7","rId10","ppt/media/image224.svg","assets/official-pptx-icons/slide-12/07-image224.svg","266389"
